,tweet_text,initial_location,tweet_date,tweet_id,user_id
0,@stephenmullen67 @DonaldHalpin12 That you in the System Steph 😃🙌🏽🙌🏽🙌🏽,"Sydney, New South Wales",2021-11-30 23:59:59+00:00,1465833014961655808,401080104
1,"@adamajacoby Thats how they keep there job, a third of the politicians which in Morrisons words those numbers doesn't shock him or phase him I beleave are abused https://t.co/yCFiL2gCBr","Hay Point, Queensland",2021-11-30 23:59:35+00:00,1465832913883197440,3325100714
2,Go and learn about subduction with @AdamFHolt… the rest of us have been learning from his work for years! https://t.co/hRasvqeT6Y,"Canberra, Australian Capital Territory",2021-11-30 23:59:32+00:00,1465832901325385728,998426465392734208
3,Would be really interesting to understand if anyone is AUS has received and exception yet? https://t.co/SotP3yUMjJ,"Sydney, New South Wales",2021-11-30 23:59:31+00:00,1465832899215724549,1014810833010847745
4,@BOGperformance Well deserved,"Melbourne, Victoria",2021-11-30 23:59:29+00:00,1465832888469889025,1023491601409007618
5,"@SkyNewsAust @ScottMorrisonMP hold on.. lets wait a see what the State Dictators do first Scott, where's the Feds taking the lead over States running amok?","Sydney, New South Wales",2021-11-30 23:59:20+00:00,1465832852398899200,4365435920
6,"In Tiananmen Square their was once a group of protesters that dared challenge there government in respect to the right of free speech and assembly.  
Fast forward to 2021 people in Xinjiang yearn for the same freedoms.  As do people in Hong Kong who recently lost there’s https://t.co/U0k48qU1UR https://t.co/axtoyRfTzG","Melbourne, Victoria",2021-11-30 23:59:20+00:00,1465832851786452997,133957901
7,Surface mounted @ Zero Waste Bay Street Depot https://t.co/5o4lkH9M6I,"Sydney, New South Wales",2021-11-30 23:59:08+00:00,1465832803900313602,2507209555
8,"@RivardNHL @NubsGetDubs @YzermanSZN I wouldn’t even bother mate. I’ve been driven on by trolls telling me he’s a bust, so it must be true lol 😂","Central Coast, New South Wales",2021-11-30 23:59:07+00:00,1465832799751917570,20037498
9,"Phoenix centre @officialzhouqi will complete 72 hours of quarantine after returning from his national team duties today.

He will undergo a fitness test on Saturday morning and will be a game day decision for our clash against the Breakers. https://t.co/EB3JGpLeaF","Melbourne, Victoria",2021-11-30 23:59:05+00:00,1465832788590940162,1054520871446970368
10,Victorian coroner to investigate Aboriginal woman's death in custody https://t.co/GRH5AE5i5A via @ABCaustralia,"Melbourne, Victoria",2021-11-30 23:58:57+00:00,1465832757053906944,21242757
11,"Not your everyday Wednesday. Melbourne looking lovely with a big yellow thing in the sky to mark the first day of summer and big yellow @JCBmachines 
in Albert Park. 
@BeefyBotham @ukinaustralia @JohnDPlummer https://t.co/mXAiHAjtgL","Melbourne, Victoria",2021-11-30 23:58:55+00:00,1465832745381154820,2566627981
12,@dodona777 It seems that the quickest way to get lots of replies to a tweet it to include a factual error 🤣🤣😏,"Victor Harbor - Goolwa, South Australia",2021-11-30 23:58:51+00:00,1465832731560927232,3185085061
13,"you know a bitch went to Byrgenwerth when they call him ""Kosm"" 😭😭 https://t.co/iM2tDNezoZ","Sydney, New South Wales",2021-11-30 23:58:50+00:00,1465832726792007684,1010845245917892610
14,First morning dip of the summer 🌅 https://t.co/bNCcYk3gnE,Fremantle Surf Lifesaving Club,2021-11-30 23:58:44+00:00,1465832700321796096,1315467159405916160
15,@BexMix_41 Lol. Same 😂🤦🏻‍♂️,"Melbourne, Victoria",2021-11-30 23:58:38+00:00,1465832677534101504,252426781
16,"This week you will find me working at Pryana Rose @Ladies925 @PryanaRose on Thursday, Friday and Saturday nights until 12:30am. For bookings text Yulia on 0434499480 or just turn up💋💯💕 https://t.co/YDhFcx3X8R","Sunshine Coast, Queensland",2021-11-30 23:58:24+00:00,1465832617857617920,1392696381748350979
17,@StKildaCricket Great victory ✌ 👏,"Melbourne, Victoria",2021-11-30 23:58:23+00:00,1465832614179205120,1023491601409007618
18,@resistofficial1 😭💔 make better anaesthetic,"Tuross Head, New South Wales",2021-11-30 23:58:12+00:00,1465832565193932805,875179531983699970
19,@roisinmeaney @lidl You have to very careful with trolley poppers !!!,"Echuca, Victoria",2021-11-30 23:58:07+00:00,1465832547598831616,2477565806
