,tweet_text,initial_location,tweet_date,tweet_id,user_id
0,@CooksWorkshop @Huntleighdiag It’s a pulse oximeter 💓💓💓,"Central Coast, New South Wales",2020-11-30 23:59:58+00:00,1333561439798247424,732540633122906112
1,It's been a while.... #backintheoffice https://t.co/o9vm0ZLnEt,"Port Macquarie, New South Wales",2020-11-30 23:59:55+00:00,1333561429719281664,401340107
2,"@Akdjnr1 We love the same stuff @Akdjnr1 😂 $BSX $AOU $TMZ.ax 
Good taste","Sydney, New South Wales",2020-11-30 23:59:48+00:00,1333561397930721280,834150272444166144
3,"@PallyGoddess @RaiderIO_WoW Haha bloody shit stirrer.

So lucky, it must be a relief for you though 😂👌🏻","Melbourne, Victoria",2020-11-30 23:59:36+00:00,1333561349964664832,233062476
4,@podlyf @Huntleighdiag @APodA_National Proud to be a member for over 14 years now @APodA_National,"Central Coast, New South Wales",2020-11-30 23:59:36+00:00,1333561349721481218,732540633122906112
5,"#Sandfire posts maiden mineral resource of 6.5Mt at 1.5% Cu for 100kt Cu for its satellite A4 deposit, 8km from its new T3 mine development, demonstrating growth potential of its new hub in Botswana $SFR #ASX #copper https://t.co/Vp3OHjOWSG https://t.co/A8HLVP6Jme","Perth, Western Australia",2020-11-30 23:59:30+00:00,1333561322735243265,504116184
6,"@ElizabethFlux Have a lovely day!
Yours Correspondingly,
Garm","Melbourne, Victoria",2020-11-30 23:59:27+00:00,1333561310190026752,77580581
7,Isn’t it what it is here already 🙄 https://t.co/aqLYSx1Cji,"Brisbane, Queensland",2020-11-30 23:59:23+00:00,1333561292121014272,174429473
8,"https://t.co/t7LHrYYmZO
IF YOU WANT TO KNOW 
THE EXTENT OF THE
B ID AN FAMILY THEN WATCH THIS.
I WAS GOB SMACKED AT THE CORRUPTION IN THAT FAMILY AND 
MSM ARE COVERING UP FOR THEM.","Western Australia, Australia",2020-11-30 23:59:22+00:00,1333561290296422400,1256706145785229312
9,@jeremy_dolin @AP_Politics As an Australian it is hard to fathom how just less than1/2 of the US population follow such an idiot as Trump!,"Melbourne, Victoria",2020-11-30 23:59:20+00:00,1333561279764598784,1112500288206700544
10,@Phil_Baty * No more lectures by the end of 2021 at Curtin,"Perth, Western Australia",2020-11-30 23:59:19+00:00,1333561278686642177,1641864691
11,@podlyf @Huntleighdiag @APodA_National It’s the old logo but it lives in my office !,"Central Coast, New South Wales",2020-11-30 23:59:12+00:00,1333561247686557705,732540633122906112
12,"@Therese_Rein as you have an ongoing interest in Aust politics, have you a comment on that disgraceful tweet out of the Chinese foreign ministry office? #auspol","Gold Coast, Queensland",2020-11-30 23:59:06+00:00,1333561224370393088,499541139
13,Alcohol fueled whoop ass machines! @mark.wakefield.54922 @worldgymashmore @ World Gym Ashmore 24/7 https://t.co/U7sdnSB8To,"Gold Coast, Queensland",2020-11-30 23:59:05+00:00,1333561217227612160,1026217399
14,Great https://t.co/5jwgSg8HlB,"Victoria, Australia",2020-11-30 23:59:00+00:00,1333561198596354048,427800838
15,"@Noahpinion A general inability to deal with risk or to take a risk to save lives. This is not new, see the FDA’s sclerotic response to AIDS.","Newcastle, New South Wales",2020-11-30 23:58:51+00:00,1333561159346130944,1140584370329157632
16,"Bells Rapids, Brigadoon, WA #justanotherdayinWA https://t.co/Ph4WC4z5jm","Western Australia, Australia",2020-11-30 23:58:49+00:00,1333561150324105216,270879505
17,Why is it that banks always take out the $5 fee on days there is only $5.45 in the account instead of days there is $305.45?,"Adelaide, South Australia",2020-11-30 23:58:36+00:00,1333561098310610944,1009204619182915584
