,tweet_text,initial_location,tweet_date,tweet_id,user_id
0,@EtniesJags plix what's sombrero in this case lol,"Lagos, Nigeria",2015-11-30 23:59:59+00:00,671478812564193280,1445055204
1,@Aw3L3 Lmao the Lord is your strength.,"Abuja, Nigeria",2015-11-30 23:59:57+00:00,671478806822170624,223119283
2,Happy New Month.,"Kano, Nigeria",2015-11-30 23:58:44+00:00,671478497903288320,190355385
3,"@o_sahid ..the meek: for they shall inherit the earth.""Matt 5: 3-5  Christ is our sufficient, in him we have our beings, to the glory of God","Abuja, Nigeria",2015-11-30 23:58:21+00:00,671478403053297664,2803081785
4,🎵So be good for goodness sake🎵,"Kaduna, Nigeria",2015-11-30 23:58:20+00:00,671478400125673472,713250510
5,Welcome to the beginning ov the end ov the year.... 😊😊,"Maiduguri, Nigeria",2015-11-30 23:57:18+00:00,671478139390959616,261066404
6,"Merry Christmas, world!","Victoria Island, Nigeria",2015-11-30 23:56:49+00:00,671478017445769216,122134274
7,Just posted a photo @ Alapere Ketu https://t.co/P13DPrMNMK,"Ikeja, Nigeria",2015-11-30 23:56:46+00:00,671478006041460741,848153262
8,Sleep should stop this rough play men.,"Calabar, Nigeria",2015-11-30 23:56:09+00:00,671477851229691904,340582504
9,@xoDASxo @HeroinHobbit Whooooooooooop 💛💛 you're Hot,"Victoria Island, Nigeria",2015-11-30 23:56:02+00:00,671477819311063040,73418742
10,#NP @djkhaled @chrisbrown @Jeremih #HOLDYOUDOWN #LIGHTSOUTWITHKEMISMALLZZ WITH @kemismallzz ..LEGOOO!!,"Lagos, Nigeria",2015-11-30 23:55:59+00:00,671477808372293632,185776960
11,Looooool GOOOD NIGHT PLEASE https://t.co/RVpH0mJ9Pl,"Lagos, Nigeria",2015-11-30 23:55:47+00:00,671477756706824192,305310436
12,I pity your thoughts. https://t.co/0gfSvYI9JG,"Samaru, Nigeria",2015-11-30 23:55:24+00:00,671477662578253824,358444315
13,I ve always told God bout one Norma greatest heart desires. @ Alapere Ketu https://t.co/G2WdN4Gmft,"Ikeja, Nigeria",2015-11-30 23:55:11+00:00,671477607439982592,848153262
14,See beneath the soul. @ Arriva https://t.co/iH8PI3vYkv,"Port Harcourt, Nigeria",2015-11-30 23:54:45+00:00,671477495472918528,446987105
15,December is the sexiest month. 💚💙😍,"Abuja, Nigeria",2015-11-30 23:54:27+00:00,671477423351951360,272552463
16,Lolllllllllll this life is a pot of hot beans oohhhhh. I hail you lagos babes. 😂😂😂😂😂😂😂😂😂😂😂,"Lagos, Nigeria",2015-11-30 23:54:20+00:00,671477393727627264,305310436
17,"Oh wow. Tot I was alone. ""@Amus1r: Dey bore me easily"" @KeneAmazu: Relationships ain't my thing""","Lagos, Nigeria",2015-11-30 23:54:16+00:00,671477376925192192,288777053
18,"""Blessed are the poor in spirit: for theirs is the kingdom of heaven. Blessed are they that mourn: for they shall be comforted. Blessed are","Abuja, Nigeria",2015-11-30 23:54:11+00:00,671477354351472641,2803081785
19,"@EtniesJags guyyy , then cold hearted","Lagos, Nigeria",2015-11-30 23:53:51+00:00,671477269697835008,1445055204
20,"NP @IamTJAN ""TURE"" #NIGHTCAFE","Lagos, Nigeria",2015-11-30 23:53:50+00:00,671477266753396736,117087700
21,Hapi new month #January too December Baba u ar always on point https://t.co/yipPC8evDF,"Addo, Nigeria",2015-11-30 23:53:49+00:00,671477262324207616,4238309141
22,God be in my head and in my understanding.,"Lagos, Nigeria",2015-11-30 23:53:42+00:00,671477231370244096,288777053
23,"Federal civil servants allege anomalies in promotion exams
https://t.co/v4SaVOr1MF","Ikeja, Nigeria",2015-11-30 23:52:20+00:00,671476887248494594,389484975
24,@UgonnaIbe lollll hunger smize 😩,"Lagos, Nigeria",2015-11-30 23:52:12+00:00,671476855019540480,305310436
25,Kent is an idiot,"Victoria Island, Nigeria",2015-11-30 23:51:54+00:00,671476779090100225,73418742
26,APC flays attack on party members during protest in Rivers https://t.co/dievo5pVkW,"Port Harcourt, Nigeria",2015-11-30 23:51:50+00:00,671476761570447360,2810074439
27,Transport Minister orders probe of N13bn allocation to MAN https://t.co/whbhebkPiF,"Port Harcourt, Nigeria",2015-11-30 23:51:47+00:00,671476751898382336,2810074439
28,"Why we honoured Emeka Enejere, ex-UNN governing council chairman —ASUU, SSANU https://t.co/JbWR5fSBgM","Port Harcourt, Nigeria",2015-11-30 23:51:45+00:00,671476742285062144,2810074439
29,Revenue  Commission  recovers  N721bn  unremitted  funds https://t.co/ehtqy43lBE,"Port Harcourt, Nigeria",2015-11-30 23:51:43+00:00,671476732667523072,2810074439
30,Lmfao  https://t.co/Lk5BHqK90e,"Victoria Island, Nigeria",2015-11-30 23:51:39+00:00,671476715957395456,73418742
31,"Lawyer, French nationals arraigned over alleged  forgery https://t.co/boL2RTLgiN","Port Harcourt, Nigeria",2015-11-30 23:51:38+00:00,671476713394724864,2810074439
32,Amukoko residents cry for help over activities of hoodlums https://t.co/9OK6UdQa3g,"Port Harcourt, Nigeria",2015-11-30 23:51:36+00:00,671476703835893760,2810074439
