,tweet_text,initial_location,tweet_date,tweet_id,user_id
0,if its meant to be it will be,"Jose Panganiban, Bicol Region",2020-11-30 23:59:59+00:00,1333561445955452928,762542000629358593
1,To my future cats 🐱 https://t.co/XxosfMwErl,"Davao City, Davao Region",2020-11-30 23:59:56+00:00,1333561431896145921,146835799
2,A million purple hearts and more to come @THEJANINEBERDIN 🥳💜💜💜💜💜 https://t.co/EyutKNfsDq,"Lapu-Lapu City, Central Visayas",2020-11-30 23:59:51+00:00,1333561411541241857,3290133392
3,Your worth is not intended for those who cannot see.,"Siniloan, Calabarzon",2020-11-30 23:59:34+00:00,1333561339030061057,3715756154
4,Stream and download to remove vinyl! 🤣🤣🤣 https://t.co/MytG8sgtwo,"Makati City, National Capital Region",2020-11-30 23:59:33+00:00,1333561334139473920,902767797532594180
5,You’re just treating the symptoms and not the sickness itself.,"Pasig City, National Capital Region",2020-11-30 23:59:23+00:00,1333561295468064770,988412394
6,good morning OB✨,"Manila City, National Capital Region",2020-11-30 23:59:14+00:00,1333561255286607872,3490254314
7,Kiesh just shut up!,"Gen. Santos City, Soccsksargen",2020-11-30 23:59:00+00:00,1333561195484258306,2359411970
8,"December, please be good.","Mandaluyong City, National Capital Region",2020-11-30 23:58:45+00:00,1333561135002382337,1896524228
9,jusmeee sleep over na agaddd!,"Makati City, National Capital Region",2020-11-30 23:58:43+00:00,1333561126517309440,2955023012
10,Goodmorning December,"Santa Maria, Central Luzon",2020-11-30 23:58:37+00:00,1333561101968056323,939041794439880704
11,GOODMORNING  December plss be good To us 😊🥰❤ https://t.co/3WwOyz6KWr,"Paranaque City, National Capital Region",2020-11-30 23:58:37+00:00,1333561099417841666,1229360882406150144
12,december please be the good one,"Jose Panganiban, Bicol Region",2020-11-30 23:58:33+00:00,1333561086293934080,762542000629358593
13,I badly wanna regain what I lost.,"Tanauan City, Calabarzon",2020-11-30 23:58:27+00:00,1333561058821214208,837817696494350336
14,"koomorning 🙈 haha @iloovejimin @queenharmons  
#GoSe #SEVENTEEN #SEVENTEEN交換 https://t.co/21rtk7BSXC","Cebu City, Central Visayas",2020-11-30 23:58:17+00:00,1333561018342010881,1295544473192030208
15,Our wedding anniversary is on Dec 5 💜💜💜 Such an honor!!! @BTS_twt https://t.co/jQwXsinoJz,"Manila City, National Capital Region",2020-11-30 23:58:12+00:00,1333560994665095170,64231414
16,@dordorclaire keep warm bb 💞,"Floridablanca, Central Luzon",2020-11-30 23:58:00+00:00,1333560947605078017,1680147253
17,Goodmorning🧡,"Bacoor, Calabarzon",2020-11-30 23:57:44+00:00,1333560877539151874,819799859557318656
18,8 pcs of McDonald's chicken for 220 pesos!,"Taguig City, National Capital Region",2020-11-30 23:57:42+00:00,1333560869062549504,2448287629
19,@hwhelperrr @dailystantwt SERIOUSLY???????? 😒,"Moalboal, Central Visayas",2020-11-30 23:57:41+00:00,1333560865132478464,77975875
20,"""There is sex without love, and there is love without sex. And then there is you without both.""","Pasig City, National Capital Region",2020-11-30 23:57:31+00:00,1333560824082796544,1261048910329466883
21,I'm at David's Salon in Pasig w/ @apple_hurtado https://t.co/0ofqWsChi9,"Pasig City, National Capital Region",2020-11-30 23:57:30+00:00,1333560821184663557,11566822
22,Damn i wanna be this organized lol https://t.co/gUka5GyETL,"Cabanatuan, Central Luzon",2020-11-30 23:57:28+00:00,1333560813542510592,1160599520473841669
23,Something fishy 🤭,"Manila City, National Capital Region",2020-11-30 23:57:28+00:00,1333560811369816065,2483252035
24,"Happy birthday lolo dadi and lola lety. We love you. Pakabait kayo wag matigas ulo. Hahaha. 😘Thank you team castillo and team dela cruz #vicencioclan @ Quezon City, Philippines https://t.co/5YYY1Uk257","Quezon City, National Capital Region",2020-11-30 23:57:22+00:00,1333560785650540547,72518465
25,@challseduard congratulations po ☺☺☺,"Dasmarinas, Calabarzon",2020-11-30 23:57:22+00:00,1333560785042251776,1218929142306983936
26,@rafaelayabut_ Hoy fake news ka sa 30 pa AHAHAHAHAHAHAHAHAHAHASHAHAHAHAHAHAHAHAHA ADVANCE THANK YOU ❤❤❤,"Pasig City, National Capital Region",2020-11-30 23:57:14+00:00,1333560751424868352,1292495580359401472
27,Birthmonth♥️,"Calapan City, Mimaropa",2020-11-30 23:57:10+00:00,1333560734702190593,2729281730
28,Last Day 🥳,Accenture Global One Lobby,2020-11-30 23:56:51+00:00,1333560655375331329,1050602402
29,"For the history books! Congratulations 🎉🎉🎉 #BTS #ARMY 

https://t.co/EgifrPVVK7","Makati City, National Capital Region",2020-11-30 23:56:36+00:00,1333560593781907456,15564894
30,"Least line but impactful! Ni-ki slayed! 🔥

#NI_KI #기키 @ENHYPEN_members https://t.co/4jwf21g8TZ","Pasay City, National Capital Region",2020-11-30 23:56:31+00:00,1333560572709797889,880576506245677056
