,tweet_text,initial_location,tweet_date,tweet_id,user_id
0,@MatsileMohau Size8😭😭😭😭😭🤞💯✅🤧 https://t.co/LqUHSthIN2,"Bloemfontein, South Africa",2022-11-30 23:59:06+00:00,1598104365902237697,1382133146662137863
1,@TheDjManSA @METROFMSA I get anxious 😢,"Pretoria, South Africa",2022-11-30 23:58:53+00:00,1598104308423479296,2577509021
2,"Apple Music Replay: 2022.
- &lt;3. https://t.co/kScymSsl7G https://t.co/Fk92G0Fa4K",South Africa,2022-11-30 23:58:30+00:00,1598104214550761473,1138832192124129280
3,@Amwysoc I don't see anything wrong with it. I don't think it's for the benefit of the world by the way,"Cape Town, South Africa",2022-11-30 23:58:26+00:00,1598104197916131328,291009744
4,The new generation would need to look at the above conventional court because the current cannot adjust above constitutional,"Centurion, South Africa",2022-11-30 23:57:53+00:00,1598104058560061440,1330387226870550528
5,"@gcinamoyo_ Off the top of my head, l can think of 5 KFC's in Randburg. 🤷‍♂️",South Africa,2022-11-30 23:56:16+00:00,1598103653059293184,993620122756616193
6,@nozipho_poswa My person😍,"Sandton, South Africa",2022-11-30 23:55:48+00:00,1598103535706836993,194984676
7,That Trevor Noah Level.😂💯🔥🥺😭🤣,"Mitchell's Plain, South Africa",2022-11-30 23:54:47+00:00,1598103276771500032,521122869
8,This proofs without any doubts that constitutional court cannot be the only highest court,"Centurion, South Africa",2022-11-30 23:54:17+00:00,1598103150967148544,1330387226870550528
9,"I'm starving ka2am ,lapho I'm busy drinking water...",South Africa,2022-11-30 23:53:57+00:00,1598103067651878913,863432552
10,So SA 🇿🇦is not in the top 10? https://t.co/X7FcpYvBWC,"Polokwane, South Africa",2022-11-30 23:53:32+00:00,1598102962530029569,1113697851467542529
11,So a traditional court above conventional court would consider such involvement of direct affect victims,"Centurion, South Africa",2022-11-30 23:52:23+00:00,1598102675111186432,1330387226870550528
12,Louder!! 🤞🏾 https://t.co/rqsvycku6u,"Atteridgeville, South Africa",2022-11-30 23:52:09+00:00,1598102616982294528,1346922071813591040
13,"Same, I'd try packing less but still have to pay for the extra weight https://t.co/eHDr9Km2H3","Stellenbosch, South Africa",2022-11-30 23:52:00+00:00,1598102577631354880,1238853123512418309
14,I remember laying butt naked on the bathroom floor  &amp; telling myself “it’s not real you’re just high” https://t.co/nasJrCtoT3,"Johannesburg, South Africa",2022-11-30 23:50:35+00:00,1598102220649922560,1256010786050322433
15,"Family, wife and children of Chris Hani were supposed to be called in to say if they agree with release of the killer of their father or husband","Centurion, South Africa",2022-11-30 23:50:28+00:00,1598102190685843456,1330387226870550528
16,@KaylaChowShow There are some celebrities who married fans so I know it's possible... But only in summer. I had it on last night and the temperature was 18,"Cape Town, South Africa",2022-11-30 23:49:53+00:00,1598102043574833152,291009744
17,WE HAVE ARRIVED.,Embassy Towers Sandhurst,2022-11-30 23:48:25+00:00,1598101675423993856,846425560075177984
18,"The impact of release of Walus to the family, wife and children of Chris Hani were taken into consecrations by the judge's","Centurion, South Africa",2022-11-30 23:48:21+00:00,1598101657141018624,1330387226870550528
19,"If you across this tweet, I wish you a blessed and a productive month filled with safety, success, money, love, happiness, peace, etc. Happy new month fam ❤️🙌🏽🕯.",South Africa,2022-11-30 23:48:11+00:00,1598101617886507008,1233005242515677185
20,@erinbrodwin Mast the like button,"Cape Town, South Africa",2022-11-30 23:47:50+00:00,1598101529739022338,291009744
21,"@NkosazanaNzama 😭😭I think 🤔 it's time you made a full version of that ""baba Ngikhumble nam"" https://t.co/vfUa8zjDpr","Bloemfontein, South Africa",2022-11-30 23:47:29+00:00,1598101439309836290,1382133146662137863
22,This is by far the biggest bank charge I've ever gotten.. hape bang tlhotlhorile💀,"Pretoria, South Africa",2022-11-30 23:46:56+00:00,1598101300713254912,175746427
23,@ShiLLin_ViLLian This sounds a lot like @JellyeSportsNFT mate.,"Durban, South Africa",2022-11-30 23:46:24+00:00,1598101167955128321,2179974571
24,"Like the case of Walus, traditional courts would look at the impact of case to the victims. The victim voice must heard and be the final decision voice to any case, not the judges interpretations alone. Culture issues should taken into consideration","Centurion, South Africa",2022-11-30 23:46:18+00:00,1598101143879831552,1330387226870550528
25,This tweet should be trending https://t.co/gJySe3AGHl,"Milnerton, South Africa",2022-11-30 23:46:03+00:00,1598101080717819904,1420248766423126017
26,Tired af🤝♥️ https://t.co/29WQagsOD9,"Polokwane, South Africa",2022-11-30 23:45:50+00:00,1598101024241487872,769102568521887744
27,Did you just fold? No wonder Floyd schooled you https://t.co/qsRFiYDyor,"Milnerton, South Africa",2022-11-30 23:45:33+00:00,1598100952816705536,1420248766423126017
28,My Spotify Wrapped jus confirmed to me that I live for music😭♥️ https://t.co/M83IWybQEK,"Polokwane, South Africa",2022-11-30 23:45:26+00:00,1598100925536948224,769102568521887744
29,@TheRealest201 @CapitecBankSA Good morning 🤣🤣🤣 https://t.co/jimzyiN2lR,"Westonaria, South Africa",2022-11-30 23:45:23+00:00,1598100913050488832,1438002878380118019
30,Big jokes bruh https://t.co/D2AWEijquN,"Cape Town, South Africa",2022-11-30 23:45:20+00:00,1598100898688905216,1220571133
31,@tomoseludwe1 @Ambitiouz_Ent Yeshe!!,"Durban, South Africa",2022-11-30 23:43:35+00:00,1598100460808048640,528563476
32,It literally gets released at the same time??? https://t.co/7sgyJPErOA https://t.co/Rv0yKDQLU4,"Cape Town, South Africa",2022-11-30 23:43:32+00:00,1598100445381431296,1455649607460036609
