,tweet_text,initial_location,tweet_date,tweet_id,user_id
0,"Quick one week trip to capetown 
Need to go confirm something 😂 @ O.R. Tambo International Airport https://t.co/oQFQgKehdQ","Kempton Park, South Africa",2019-11-30 23:59:51+00:00,1200927454329573376,834417768565002242
1,@Amaze_M Waphapha! You Cancer looking patient!,"Johannesburg, South Africa",2019-11-30 23:59:50+00:00,1200927446528339968,831145412
2,Legit had so much FUN tonight 🤣😁🔥,"Sandton, South Africa",2019-11-30 23:59:42+00:00,1200927416727867393,2335692413
3,@vodacom hey I'm looking forward to the draws tomorrow. I've won billion entries into various draws!,"Phuthaditjhaba, South Africa",2019-11-30 23:59:42+00:00,1200927415897350147,143040837
4,"Ice skating is never my thing
Never again will I try such🙈😂 @ Tygervalley Waterfront https://t.co/N8WkMihmkE","Bellville, South Africa",2019-11-30 23:59:21+00:00,1200927325707108352,834417768565002242
5,@ForeverShakes Please go to sleep sir,"Johannesburg, South Africa",2019-11-30 23:59:06+00:00,1200927264638226432,2306514367
6,Okay I’m sleepy,"Durban, South Africa",2019-11-30 23:59:02+00:00,1200927248171319296,380935011
7,This guy is stupid 8k for a driver's license 🤦🏽‍♂️🤦🏽‍♂️#IBlewIt,"Centurion, South Africa",2019-11-30 23:59:00+00:00,1200927240038551553,404354855
8,Samsung doesn't have a screen record feature. Omg. I need an iPhone 😭😭😭,"KwaGuqa, South Africa",2019-11-30 23:58:56+00:00,1200927222942633986,31445450
9,"@7uzidoesit My all time favourite is body positivity, because why call it clinically obese when you can call it empowerment. 😁","Randburg, South Africa",2019-11-30 23:58:50+00:00,1200927197491539973,1433247799
10,@Dj_Besim You also sober,"Centurion, South Africa",2019-11-30 23:58:37+00:00,1200927142999154689,1057921894895271936
11,I need this https://t.co/UAqohU0mBp,"Johannesburg, South Africa",2019-11-30 23:58:32+00:00,1200927119284613125,2306514367
12,It's been 10 years. The world feels unhinged. The door creeks ever so slightly. And the breeze wafting in makes my soul freeze over.,"Durban, South Africa",2019-11-30 23:58:30+00:00,1200927112410128385,14659522
