word,type
a,article
about,preposition
above,preposition
across,preposition
after,preposition
afterwards,adverb
again,adverb
against,preposition
all,determiner
almost,adverb
alone,adjective
along,preposition
already,adverb
also,adverb
although,conjunction
always,adverb
am,verb
among,preposition
amongst,preposition
amount,noun
an,article
and,conjunction
another,determiner
any,determiner
anyhow,adverb
anyone,pronoun
anything,pronoun
anyway,adverb
anywhere,adverb
are,verb
around,preposition
as,conjunction
at,preposition
back,adverb
be,verb
became,verb
because,conjunction
become,verb
becomes,verb
becoming,verb
been,verb
before,preposition
beforehand,adverb
behind,preposition
being,verb
below,preposition
beside,preposition
besides,preposition
between,preposition
beyond,preposition
both,determiner
bottom,noun
but,conjunction
by,preposition
call,verb
can,verb
cannot,verb
cant,verb
certain,adjective
certainly,adverb
could,verb
couldnt,verb
cry,verb
describe,verb
detail,noun
did,verb
do,verb
does,verb
doing,verb
done,verb
down,preposition
during,preposition
each,determiner
either,conjunction
else,adverb
elsewhere,adverb
empty,adjective
enough,determiner
etc,abbreviation
even,adverb
ever,adverb
every,determiner
everyone,pronoun
everything,pronoun
everywhere,adverb
except,preposition
few,determiner
fill,verb
find,verb
for,preposition
former,adjective
formerly,adverb
found,verb
from,preposition
front,noun
full,adjective
further,adverb
get,verb
give,verb
go,verb
had,verb
has,verb
hasnt,verb
have,verb
he,pronoun
hence,adverb
her,pronoun
here,adverb
hereafter,adverb
hereby,adverb
herein,adverb
hereupon,adverb
hers,pronoun
herself,pronoun
him,pronoun
himself,pronoun
his,possessive
how,adverb
however,adverb
hundred,number
i,pronoun
ie,abbreviation
if,conjunction
in,preposition
indeed,adverb
inside,preposition
instead,adverb
into,preposition
is,verb
it,pronoun
its,possessive
itself,pronoun
just,adverb
keep,verb
last,adjective
latter,adjective
latterly,adverb
least,adjective
less,determiner
made,verb
many,determiner
may,verb
me,pronoun
meanwhile,adverb
might,verb
mine,pronoun
more,determiner
moreover,adverb
most,determiner
mostly,adverb
move,verb
much,determiner
must,verb
my,possessive
myself,pronoun
namely,adverb
neither,determiner
never,adverb
nevertheless,adverb
next,adjective
no,determiner
nobody,pronoun
none,pronoun
noone,pronoun
nor,conjunction
not,negative
nothing,pronoun
now,adverb
nowhere,adverb
of,preposition
off,preposition
often,adverb
on,preposition
once,adverb
one,number
only,adverb
onto,preposition
or,conjunction
other,determiner
others,pronoun
otherwise,adverb
our,possessive
ours,pronoun
ourselves,pronoun
out,preposition
outside,preposition
over,preposition
own,adjective
part,noun
per,preposition
perhaps,adverb
please,interjection
put,verb
rather,adverb
re,preposition
same,determiner
see,verb
seem,verb
seemed,verb
seeming,verb
seems,verb
serious,adjective
several,determiner
she,pronoun
should,verb
show,verb
side,noun
since,preposition
sincere,adjective
six,number
so,adverb
some,determiner
somehow,adverb
someone,pronoun
something,pronoun
sometime,adverb
sometimes,adverb
somewhere,adverb
still,adverb
such,determiner
system,noun
take,verb
ten,number
than,conjunction
that,determiner
the,article
their,possessive
them,pronoun
themselves,pronoun
then,adverb
thence,adverb
there,adverb
thereafter,adverb
thereby,adverb
therefore,adverb
therein,adverb
thereupon,adverb
these,determiner
they,pronoun
thick,adjective
thin,adjective
third,number
this,determiner
those,determiner
though,conjunction
through,preposition
throughout,preposition
thru,preposition
thus,adverb
to,preposition
together,adverb
too,adverb
top,noun
toward,preposition
towards,preposition
under,preposition
unless,conjunction
until,preposition
up,preposition
upon,preposition
us,pronoun
very,adverb
via,preposition
was,verb
we,pronoun
well,adverb
were,verb
what,pronoun
whatever,pronoun
when,adverb
whence,adverb
whenever,adverb
where,adverb
whereafter,adverb
whereas,conjunction
whereby,adverb
wherein,adverb
whereupon,adverb
wherever,adverb
whether,conjunction
which,pronoun
while,conjunction
whither,adverb
who,pronoun
whoever,pronoun
whole,adjective
whom,pronoun
whose,pronoun
why,adverb
will,verb
with,preposition
within,preposition
without,preposition
would,verb
yet,adverb
you,pronoun
your,possessive
yours,pronoun
yourself,pronoun
yourselves,pronoun
