,text
0,"Praying for you Gelliace. God's joy comes on the morning. Rest well, tomorrow you will face a brand new day, brand new start. God bless! 🌞"
1,Psssst. You are stronger than you think you are. Rest then arya ulit! 😘😘😘🤗 Mwaaah! 🙏🙏🙏
2,Try lng
3,aww... their impact 😭 im glad ure okay now klowy. if something happens andito lang ako 💕
4,"I love you fifi ❤️ thank you, if the negative thoughts ever comeback you will be the first one to know. I promise. Thank you for treating me like a sister. You annoyed the hell of me but the truth is i like it when you are being like that to me. Sisters not only in stan twt 💗🌸"
5,Why?
6,I'm always here for you. Your loyal PA hahahaha
7,Heeey we’re all here for you ayt 🤗
8,Need. Thanks partner!
9,"Actually, thanks to social media... sa workplace kasi eh, complicated to do it. I'll be vulnerable to people who'll just take advatage of me. Anyw, tweet appreciated!"
