,text
0,"That’s awful. I’m sorry that you’ve been through that. Any suicide attempts are terrible,&I think that it makes the need for thorough talking therapies more apparent, to ensure underlying issues are resolved. Suicide rates for trans ppl are no lower for those who’ve transitioned."
1,💚💚💚💚 a true king !
2,And can I make a donation and how can I help✌️
3,✌️ brother
4,"I think your amazing, being so strong for everyone. You lost your brother. I’m just one irrelevant person who just loved Chester and Linkin Park in a small town in Australia. Thankyou 💙💙💙"
5,Okay. Thanks. May the force be with you.
6,Good Morning 😊
7,But why are you d and m ?
8,whyyy??
9,"I know that feeling, hang in there for now, stay strong. It gets better ❤️ sending love your way"
10,We suppose yarn o
11,Don't be depressed my dear... Everything will be ok..
12,Heal!!! I pray 🙏🏼
13,Keep going. It gets better
14,👀👀
15,"Praying for you Gelliace. God's joy comes on the morning. Rest well, tomorrow you will face a brand new day, brand new start. God bless! 🌞"
16,Psssst. You are stronger than you think you are. Rest then arya ulit! 😘😘😘🤗 Mwaaah! 🙏🙏🙏
17,Try lng
18,aww... their impact 😭 im glad ure okay now klowy. if something happens andito lang ako 💕
19,"I love you fifi ❤️ thank you, if the negative thoughts ever comeback you will be the first one to know. I promise. Thank you for treating me like a sister. You annoyed the hell of me but the truth is i like it when you are being like that to me. Sisters not only in stan twt 💗🌸"
20,Why?
21,I'm always here for you. Your loyal PA hahahaha
22,Heeey we’re all here for you ayt 🤗
23,Need. Thanks partner!
24,"Actually, thanks to social media... sa workplace kasi eh, complicated to do it. I'll be vulnerable to people who'll just take advatage of me. Anyw, tweet appreciated!"
25,Askies hle 💔
26,"So if I was your coach we'd be SUPER mindful on using those first ~4 weeks weeks with just a tiny bit of running (and make it very easy kylekranz.com/rpe, maybe even run/walks) but focusing heavily on daily strength & mobility work
What has your 3-4 weeks back looked like?"
27,One o vaya kadi sneakers?
28,"It is said to come across such. . . .as people let's consider those who are around us.. parents siblings & our kids.   Who & how are they going be when we end our lives...
Please note us not to this"
29,Wanna talk?..
30,Piel is mos essential goods.
31,Advise him that in this app no one is real and normal person can't get mad because people don't like his post. He have to much time in his life to worry about useless things. He was living before he join Twitter and now what changed. People are crazy over so called attention.
32,I’m glad people like you are here to tell it like it is
33,I hear you sir. But I personally think this issue is way bigger than Twitter. The guy was lonely outside of this app.
34,Don't be sad everything will be ok your family does love you Shirley even you boyfriend
35,Attended two sessions. I remember they made me draw pictures
36,@checholifestyle ish tis is sad bro...beyond actually
37,"Tomorrow I promise to share this story with you, and how my puppy helped save my life. #mhaw17"
38,Just keep the words going and delete the wrong ones later. You can totes do it.
39,I hope awareness of #mentalhealth provides others the needed support that there is no stigma as there are others in the same situation x ❤️
40,
41,I hear you on that. It's as much for us as for them x
42,@Jack_Septic_Eye
43,I sleep a lot when I'm depressed.
44,We love this 🧡Important message and High fives for sharing your story 🙌
45,Thanks for sharing ❤️
46,Without the Sanaritans many more would be dead as there is zero help from the NHS.
47,"You will return to you or someone stronger.
Out of the ashes rose the Phoenix!"
48,Thanks for sharing your story with us Dave. We're so glad our volunteers were there for you 💚
49,
50,"I miss you Neo 😟 I get the not wanting to talk thing, if you ever wanna play some games and not chat let me know ❤️"
51,Totally get this pal 💙
52,"Yeah, my anxiety is like that. Big hugs for you and you can always message if you need to talk 💕"
53,ME
54,You’re hardly 22 🙄
55,#staystrong
56,Baby girllll - love you ❤️
57,Love you guys so much xxxxx
58,This is the foulest response ever 🤢
59,Omg mooood the amount of boys I see doing the press up challenge purely to show off when using they’re absolute dickheads who don’t care about how people feel!!!
60,"yeah my dad don’t believe in it i don’t reckon, just showing off his press ups"
61,I love u baby
62,Omg this is a genius idea. Like please make me food or remind me to drink water or wash the growing pile of laundry that's been untouched for weeks.
63,"Sorry you’re in it, Chuck, but it will pass"
64,You got this brotha. Keep on keeping on.
65,Chuck!! You are so loved. Please trust this will pass. 🤍
66,
67,Lmaoooo me
68,We are the same person 🤣😭
69,@DjBwizzz it’s me
70,"me: :(
*remembers shein exists*
me: :)"
71,LOL I just did this the other day 😅
72,Lol me
73,YES
74,Let's go 😉
75,Just be happy! Duh
76,Thank you.
77,life😓
78,That's honestly incredible I know how that feels I did the same thing I felt the same way parents might not appreciate you but as long as you know you doing something for them that's all that really matters you should be proud I would.
79,"thank you :,)"
80,Honestly same
81,That is true. It frustrates me
82,Best wishes on your transition to SC. #BPDChat
83,You're here & that you finally got the correct diagnosis. #BPDChat
84,it was like a blanket of warmth came over me.
85,@agregg08_ it's honestly sad
86,@shirastackz_ uh oh
